GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
task-tracker-api,com.example.tasktracker.service,TaskServiceException,0,4,0,0,0,2,0,1,0,1
task-tracker-api,com.example.tasktracker.service,TaskService,4,132,1,3,1,35,1,10,0,9
task-tracker-api,com.example.tasktracker.repository,InMemoryTaskRepository,8,65,0,4,1,13,1,10,1,8
task-tracker-api,com.example.tasktracker,TaskTrackerApiApplication,5,3,0,0,2,1,1,1,1,1
task-tracker-api,com.example.tasktracker.model,Task.Builder,0,68,0,2,0,23,0,9,0,8
task-tracker-api,com.example.tasktracker.model,TaskStatus,0,34,0,0,0,4,0,1,0,1
task-tracker-api,com.example.tasktracker.model,Task,24,52,3,1,4,16,3,9,1,9
task-tracker-api,com.example.tasktracker.dto,TaskResponse,0,18,0,0,0,1,0,1,0,1
task-tracker-api,com.example.tasktracker.dto,UpdateStatusRequest,0,6,0,0,0,1,0,1,0,1
task-tracker-api,com.example.tasktracker.dto,TaskRequest,0,12,0,0,0,1,0,1,0,1
task-tracker-api,com.example.tasktracker.controller,RestExceptionHandler,0,62,0,0,0,15,0,4,0,4
task-tracker-api,com.example.tasktracker.controller,TaskController,12,24,0,0,3,6,2,4,2,4
